feature,model_status,availability_stage,rationale,timing_evidence
source_row_id,excluded,identifier,Stable join key from the export order; carries no information about the applicant.,explicit_protocol_rule
loan_amnt,included,application_borrower_choice,Borrower request or selected loan characteristic available before pricing.,field_semantics; source-timing documentation still required
term,included,application_borrower_choice,Borrower request or selected loan characteristic available before pricing.,field_semantics; source-timing documentation still required
int_rate,excluded,post_pricing,Contract interest rate is the pricing outcome; retained only for ROI context.,explicit_protocol_rule
emp_length,included,application_reported,Applicant-reported information available during the application.,field_semantics; source-timing documentation still required
home_ownership,included,application_reported,Applicant-reported information available during the application.,field_semantics; source-timing documentation still required
annual_inc,included,application_reported,Applicant-reported information available during the application.,field_semantics; source-timing documentation still required
verification_status,included_with_timing_caveat,application_or_origination_process,Process metadata retained by the frozen plan; exact pre-pricing availability must be documented.,timing_not_independently_verified
purpose,included,application_borrower_choice,Borrower request or selected loan characteristic available before pricing.,field_semantics; source-timing documentation still required
addr_state,included,application_reported,Applicant-reported information available during the application.,field_semantics; source-timing documentation still required
dti,included,application_reported,Applicant-reported information available during the application.,field_semantics; source-timing documentation still required
delinq_2yrs,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
fico_range_low,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
fico_range_high,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
inq_last_6mths,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mths_since_last_delinq,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mths_since_last_record,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
open_acc,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
pub_rec,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
revol_bal,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
revol_util,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
total_acc,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
initial_list_status,included_with_timing_caveat,application_or_origination_process,Process metadata retained by the frozen plan; exact pre-pricing availability must be documented.,timing_not_independently_verified
collections_12_mths_ex_med,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mths_since_last_major_derog,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
application_type,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
acc_now_delinq,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
tot_coll_amt,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
tot_cur_bal,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
open_acc_6m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
open_act_il,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
open_il_12m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
open_il_24m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
